relative_time,r_flux,r_uncert,g_flux,g_uncert,redshift,mwebv,id
-30.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-27.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-24.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-21.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-18.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-15.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-12.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-9.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
-6.0,809.7496337890625,316.40069580078125,0.0,0.0,0.07330902,0.057479568,52_2467506
-3.0,0.0,0.0,1561.7354736328125,85.78349304199219,0.07330902,0.057479568,52_2467506
0.0,2034.4432373046875,160.90786743164062,0.0,0.0,0.07330902,0.057479568,52_2467506
3.0,1798.856689453125,296.3045654296875,0.0,0.0,0.07330902,0.057479568,52_2467506
6.0,1070.5584716796875,166.65772924436183,781.2401733398438,84.45564270019531,0.07330902,0.057479568,52_2467506
9.0,929.1029663085938,92.82904210856181,678.2957763671875,81.1234359741211,0.07330902,0.057479568,52_2467506
12.0,0.0,0.0,1077.686279296875,98.00341033935547,0.07330902,0.057479568,52_2467506
15.0,1005.46630859375,97.64907836914062,0.0,0.0,0.07330902,0.057479568,52_2467506
18.0,484.99359130859375,55.52126141873528,243.64413452148438,31.553314208984375,0.07330902,0.057479568,52_2467506
21.0,751.1913452148438,71.07493591308594,0.0,0.0,0.07330902,0.057479568,52_2467506
24.0,341.6229248046875,46.82930538639081,143.39749145507812,24.29608726501465,0.07330902,0.057479568,52_2467506
27.0,275.99713134765625,51.45911444177651,158.0973358154297,28.70492172241211,0.07330902,0.057479568,52_2467506
30.0,349.21478271484375,68.09088935798029,170.6085662841797,95.75482177734375,0.07330902,0.057479568,52_2467506
33.0,1057.8895263671875,303.0730895996094,0.0,0.0,0.07330902,0.057479568,52_2467506
36.0,0.0,0.0,0.0,0.0,0.07330902,0.057479568,52_2467506
39.0,320.5102310180664,75.31345822795782,61.09402084350586,23.4652156829834,0.07330902,0.057479568,52_2467506
42.0,207.21133422851562,51.12354730307895,91.66187286376953,28.069686889648438,0.07330902,0.057479568,52_2467506
45.0,218.92794799804688,49.14148823919422,56.288414001464844,30.779253005981445,0.07330902,0.057479568,52_2467506
48.0,201.9441680908203,45.868281433622,80.2425651550293,34.77515888214111,0.07330902,0.057479568,52_2467506
51.0,160.7950897216797,34.191778537019964,73.25865936279297,27.03974151611328,0.07330902,0.057479568,52_2467506
54.0,0.0,0.0,23.109636306762695,71.87296295166016,0.07330902,0.057479568,52_2467506
57.0,276.3184356689453,61.374762559669016,0.0,0.0,0.07330902,0.057479568,52_2467506
60.0,242.94039154052734,117.78370530509159,0.0,0.0,0.07330902,0.057479568,52_2467506
63.0,78.82964324951172,73.39251243513387,109.86967468261719,63.21057891845703,0.07330902,0.057479568,52_2467506
66.0,85.19330342610677,36.306994464150854,36.57832590738932,35.074883778889976,0.07330902,0.057479568,52_2467506
69.0,55.3940684000651,33.72904173229578,83.93234252929688,29.851673126220703,0.07330902,0.057479568,52_2467506
